Submission ID / Identifiant de soumission,Date of submission / Date de soumission,Department,"Role
","Estimated FTEs Involved
","Estimated Time Spent
","Estimated Time to Secure DM Approval
","6.a. Have you previously completed the Service Inventory reporting process? 
","7 The most recent Service Inventory process (November 2024) required less time and effort than the 2023 process. 
","8 What resources did you use to understand the process? (check all that apply)
","9. Respond to this statement: If I had a question or a problem while working on the inventory, I was able to find the resources or help I needed to resolve it.    
","10. How would you rate your experience using the Service Inventory data collection Excel reporting template? 
","11. How would you rate your experience contacting the Service Policy generic inbox?
","12. How would you rate your experience attending the Service Policy-led drop-in sessions? 
","13 What about the process worked well? (check all that apply)
"," If you checked other, describe what worked well:
","14. What about the process could have been better? 
"," If you checked other, describe what could have been better:
","15. Is there anything else you’d like to share? 
"
27-02-45a9,2025-02-27T19:47:07.645Z,"Immigration, Refugees and Citizenship Canada",Results analyst,2–5,Over 60 hours,1-2 weeks,Yes,Strongly agree,"Integrated Call Letter,Drop-in sessions,Policy on Service and Digital and related instruments,Data dictionary on Open Government registry ,Talking to colleagues who had worked on the process before,GC Service Community GCXchange page",Strongly agree,Good,Fair,Good,"Clear instructions,Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease in requesting new service ID/service standard ID,Accurate and helpful data dictionary,Easy to use service inventory data collection template",-,"Difficulty understanding data requirements,Unclear definitions,Challenges using portal,Tight timelines",-,"The open data portal service list isn't captured in the search tool from gc.ca. It's incredibly difficult to find the information we presented from the GC site.

IN order to access it we had to use Google. "
18-02-e1a4,2025-02-18T19:38:16.105Z,Les Commissariats à l’information et à la protection de la vie privée du Canada,Results analyst,6–10,5-10 hours,1-2 weeks,Oui,Somewhat agree,"Séances d'information,Page GCÉchange de la communauté de service du GC",Somewhat agree,Fair,Fair,Good,"Availability of support from service team,Helpful drop-in sessions",-,"Difficulty understanding data requirements,Challenges using portal",-,"Malgré une certaine amélioration, le dictionnaire des données  (fichier Excel) est loin de faire l'unanimité auprès des gestionnaires de services pour la collecte d'informations. 

L'égalité des langues officielles doit être assurée dans toutes les communications et tous les documents de travail et de référence. "
24-02-77a8,2025-02-24T16:16:48.871Z,National Research Council Canada,Results analyst,21–50,Over 60 hours,3-4 weeks,Yes,Somewhat agree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Talking to colleagues who had worked on the process before",Somewhat agree,Fair,Poor,Fair,"Not applicable,Other",I liked the GC Service Community GCXchange page,"Unclear definitions,Challenges accessing portal,Other",Communication on the overall purpose of the reporting exercise; Changing requirements and definitions,-
13-02-c5a3,2025-02-13T17:47:53.156Z,Polar Knowledge Canada,Results analyst,11–20,41-60 hours,1-2 weeks,Yes,Strongly agree,"Drop-in sessions,Integrated Call Letter,GC Service Community GCXchange page",Somewhat agree,Good,Good,Excellent,"Clear instructions,Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Helpful drop-in sessions,Easy to use service inventory data collection template",-,Not applicable,-,Strongly support the move from Clarity. Would encourage updates to the GC Service Community page for ease of use and finding information.
27-02-57b8,2025-02-27T20:05:14.955Z,Canada Energy Regulator,Service departmental lead,21–50,Over 60 hours,More than 4 weeks ,Yes,Strongly disagree,"Integrated Call Letter,Drop-in sessions,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Somewhat agree,Good,Not applicable/did not contact the inbox,Good,"Clear instructions,Availability of support from service team,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Helpful drop-in sessions",-,Other,"There were a number of errors identified following submission, and it was not clear what the error related to or how to resolve them.","There has been a different submission process every year for the past three years (e.g., Excel spreadsheet submission by email, submission in Clarity only, Excel spreadsheet loaded to Open Gov Portal, etc.). It would be really helpful to establish a consistent process so that it becomes less burdensome, because very time the process changes, we have to devote additional hours to learn the new process, and then adapt our own internal processes. Thanks so much for considering. :)"
28-02-5d61,2025-02-28T13:41:59.120Z,Canadian Human Rights Commission,Service departmental lead,11–20,21-40 hours,1-2 weeks,No,-,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ",Strongly agree,Excellent,Excellent,Good,"Clear instructions,Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Helpful drop-in sessions",-,Tight timelines,-,-
27-02-8dbd,2025-02-27T18:13:04.842Z,Department of Finance Canada,Service departmental lead,21–50,Over 60 hours,1-2 weeks,Yes,Somewhat disagree,"Integrated Call Letter,Drop-in sessions,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Strongly agree,Good,Good,Good,"Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Accurate and helpful data dictionary,Helpful drop-in sessions",-,"Unclear definitions,Other,Tight timelines",You need to be proficient at EXCEL to manipulate the service inventory data collection template. The format is not user friendly and so we felt compelled to put it in a different format to gather information from service leads across the organization and to seek approval from our Deputies on the substance of the update. We then manually converted the data back into the TBS template so we could do the upload. This adds extra effort and time to the process. ,-
18-02-74d1,2025-02-18T19:59:42.198Z,Employment and Social Development Canada,Service departmental lead,50+,Over 60 hours,3-4 weeks,Yes,Strongly disagree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ",Somewhat agree,Poor,Good,Good,"Ease in requesting new service ID/service standard ID,Helpful drop-in sessions",-,"Difficulty understanding data requirements,Unclear definitions,Issues with the service inventory data collection template,Tight timelines,Other","While not 'tight timelines' modifying the template throughout the process, caused major delays."," Key Areas for Consideration
1. Service Inventory Reporting Requirements
•	The introduction of new fields (e.g., ‘Automated Decision-Making’ and ‘Program ID Code’) brought some challenges in ensuring accurate completion.
•	Certain definitions, such as ""Is the service supported by automated decision-making,"" could benefit from greater clarity to facilitate consistent interpretation across departments.
•	Multiple updates to reporting requirements this year necessitated repeated adjustments, resulting in a time-consuming and intensive process.
2. Service Inventory Process and the New Template
•	The new template was provided later than in previous years, which made it difficult to integrate into existing workflows.
•	Mid-cycle modifications to the template resulted in inconsistencies and required additional rework.
•	The template’s format, particularly the lack of pre-populated data, increased manual effort and complexity.
•	Given these challenges, ESDC had to rely on its previous template and manually align the data, which significantly increased workload.
•	We don’t think that backlogs information should have been removed from the template.
•	We don’t think that the last year for review of service standards should have been removed from the template. 
3. Transition to the Open Government Portal
•	While the transition was intended to streamline the process, it introduced additional complexity, requiring time and technical knowledge to navigate.
•	Questions related to registration and account setup had to be addressed by a separate TBS team, which led to confusion.
•	A technical issue caused by the transition to Open Gov prevented our Inventory from being uploaded by the November 30 deadline, putting our submission at risk.
•	There should have been more testing with departments or a pilot. 
4. TBS List of Reporting Issues (critical and minor)
•	Many of the flagged errors stemmed from the limitations of the quality control script, which does not account for contextual explanations provided in non-standard responses.
•	Of the 29 reporting issues ESDC received, the majority were minor technical issues rather than substantive errors.
•	In some cases, flagged errors related to application volume reporting were not applicable to certain services, highlighting the need for a broader metric that captures the full scope of service interactions.
•	However, the most recent issue with Program ID codes reveled some errors in the Inventory that we were unaware of. Since the request to add a program ID code was new, and our templates were not pre-populated, we were unsure whether we had selected the correct program codes. It was only after receiving a message from TBS that we realized we had used the wrong ID code for a new service. As a result, we reached out to find a responsible Branch within ESDC to review and validate all program codes to identify any potential mistakes which, as it turned out, we had made.
To help improve the Service Inventory process in the future, we would like to share the following recommendations for your consideration:
•	Providing the Service Inventory reporting requirements and updated templates by May each year would allow departments sufficient time for adjustments and the implementation of new requirements.
•	The template should be pre-populated with previous submissions to minimize manual entry and the risk of errors. It should also allow for flexible data entry, including non-standard responses.
•	Departments should have sufficient time to test new platforms and templates before the final submission deadline. A pilot testing phase could help in identifying potential issues early.
•	The system should flag errors immediately during data entry would help prevent last-minute corrections.
•	TBS should reconsider the restriction of volumetric reporting to ""applications"" and introduce a broader metric that reflects the full scope of service delivery activities.
•	When transitioning from one platform or the system (e.g. GC EPM to Open Government Portal) a comprehensive training and guidance would help departments adapt efficiently.
We recognize the complexities involved in refining the Service Inventory process and appreciate the steps TBS has already taken to improve it. We hope these suggestions will contribute to a more streamlined and user-friendly experience moving forward.
Thank you for your time and consideration. We look forward to continued collaboration on these improvements.

"
13-02-b56d,2025-02-13T18:00:09.861Z,Global Affairs Canada,Service departmental lead,50+,41-60 hours,More than 4 weeks ,Yes,Somewhat agree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox,Policy on Service and Digital and related instruments",Neutral,Fair,Neutral,Neutral,"Availability of support from service team,Clear instructions,Ease of uploading data",-,"Difficulty understanding data requirements,Challenges with requesting new Service ID/service standard ID,Issues with the service inventory data collection template",-,-
19-02-50ec,2025-02-19T20:41:28.120Z,Indigenous Services Canada,Service departmental lead,21–50,21-40 hours,2-3 weeks,Yes,Somewhat agree,"Integrated Call Letter,GC Service Community GCXchange page,Data dictionary on Open Government registry ,Drop-in sessions",Strongly agree,Good,Excellent,Good,"Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Clear instructions,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Helpful drop-in sessions",-,-,-,"The sooner we receive confirmation of any new or changed data fields related to the Service Inventory, the better prepared we are to start communicating with Service Management Representatives to gather their service area updates. Our team has been working to integrate the annual update into other reporting frameworks, so the more time we have, the better we can ensure alignment across all areas. Thanks to the Service Team at TBS for all their support."
24-02-6494,2025-02-24T21:56:22.416Z,National Research Council Canada,Service departmental lead,21–50,Over 60 hours,3-4 weeks,Yes,Neutral,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Talking to colleagues who had worked on the process before",Somewhat disagree,Neutral,Poor,Fair,Not applicable,-,"Challenges accessing portal,Challenges using portal,Challenges with requesting new Service ID/service standard ID,Issues with the service inventory data collection template,Unclear definitions,Difficulty understanding data requirements,Other","follow up on ""critical issues"" with service inventory was very confusing, far too many emails, raising alarms about not significant issues and lack of common sense and judgment around what was actually meant to be reported and achieved with the process.","There is very unclear expectations about service reporting for the future, including its exclusion from requirements for the upcoming DPSD. I have sent emails to the service and digital mailbox without response and have now included the service policy mailbox as well."
28-02-1dec,2025-02-28T17:38:04.203Z,Veterans Affairs Canada,Service departmental lead,2–5,Over 60 hours,2-3 weeks,No,-,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Talking to colleagues who had worked on the process before",Somewhat agree,Fair,Good,Good,"Availability of support from service team,Easy to use open portal,Ease of uploading data,Helpful drop-in sessions",-,Issues with the service inventory data collection template,-,"The data collection template caused the most frustration.  The color coding when entering data, for instance, made certain areas appear as 'not required' due to the dark coloring, which led to confusion."
24-02-a891,2025-02-24T18:07:30.612Z,Canadian Food Inspection Agency,Service manager,2–5,Over 60 hours,1-2 weeks,Yes,Somewhat disagree,"GC Service Community GCXchange page,Drop-in sessions,Open Government registry operations guides,Data dictionary on Open Government registry ",Somewhat agree,Good,Fair,Good,"Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Availability of support from service team",-,Challenges with requesting new Service ID/service standard ID,-,-
28-02-4c97,2025-02-28T19:51:23.003Z,Civilian Review and Complaints Commission for the RCMP,Service manager,11–20,11–20 hours,1-2 weeks,No,-,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Somewhat agree,Excellent,Good,Good,"Ease of logging in/accessing open portal,Availability of support from service team,Ease of uploading data,Easy to use service inventory data collection template,Helpful drop-in sessions",-,Other,I feel an FAQ could have helped answer many questions. Maybe a quick video (CSPS training style video) could easily explain all about this particular exercise. ,"Having been my first time completing the service inventory, it was extremely unclear from the beginning whether this was a reporting or a planning exercise. "
14-02-6625,2025-02-14T15:12:55.906Z,Department of Justice Canada,Service manager,2–5,21-40 hours,More than 4 weeks ,Yes,Neutral,"Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox,Talking to colleagues who had worked on the process before",Somewhat agree,Neutral,Good,Good,"Availability of support from service team,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Helpful drop-in sessions",-,Difficulty understanding data requirements,-,"Stakeholders/service owners most often see this exercise as a tick in the box and don't understand its importance, and we struggle explaining it to them. A few key messages around the ""Why SIU and why it is important"" would be helpful."
24-02-5116,2025-02-24T16:22:41.625Z,Federal Economic Development Agency for Southern Ontario,Service manager,2–5,21-40 hours,1-2 weeks,No,-,"Integrated Call Letter,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Data dictionary on Open Government registry ,Talking to colleagues who had worked on the process before,Service Policy generic inbox",Strongly agree,Good,Excellent,Did not attend,"Clear instructions,Availability of support from service team,Ease of uploading data",-,"Unclear definitions,Issues with the service inventory data collection template",-,-
20-02-f937,2025-02-20T16:58:47.464Z,Public Services and Procurement Canada,Service manager,21–50,Over 60 hours,More than 4 weeks ,Yes,Strongly disagree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox,Data dictionary on Open Government registry ,Other resource",Somewhat agree,Poor,Good,Good,"Helpful drop-in sessions,Availability of support from service team",-,"Tight timelines,Other,Difficulty understanding data requirements","TBS call out are coming way too late in the process (around mid-end of Sept) and requiring DM approval a months later and data entry 7 weeks after. The call out comes with surprises with unexpected changes which messes up with current internal call out. Deadline are too tight, and changes of requirements are communicated too late. Solution: 1. Have call out ready by latest May with clear requirements and deadlines. 2. Maintain Drop in sessions throughout the summer. It is frustrating getting TBS call out in Sept, this has been happening since 2020, could we improve process please. It will facilitate our work. Also call out keep changing from one year to another, we are ok with that but then again finalize it by May and then no mroe last minute change like we have experiences last time (some columns were removed and we needed to add two more... unacceptable request, unrealistic and disrepectful). Please consider impact on any changes or last minute changes on departments and agencies. Respect the fact that we need at least 5 months to get a request like this to be completed on our end.","same as #question 13. Improve TBS processes, call out and please no last minute changes. No more call out in Sept. Get organized and have it sent out to us by no later than May. Get started now please. This experience needs to change and be better, it has been the same since 2020. Thank you."
13-02-ba86,2025-02-13T18:41:54.201Z,Statistics Canada,Service manager,2–5,41-60 hours,Less than one week,Yes,Somewhat agree,"Integrated Call Letter,GC Service Community GCXchange page,Data dictionary on Open Government registry ",Somewhat agree,Good,Neutral,Fair,"Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Accurate and helpful data dictionary,Easy to use service inventory data collection template",-,"Difficulty understanding data requirements,Issues with the service inventory data collection template",-,"1) Conflicting messages between instructions received via email and on the portal and the messages we received during the drop-in sessions; 2) lack of awareness that a zero value IS a value; 3) there was a bug in the template that we had to first identify and then ""fix"" - upload of a single document impossible; had to manually enter one service - after which the rest of the services could be uploaded.   Fortunately I drew heavily on my experience using the OGP for consultations and was able to resolve 4) receiving notifications that some aspects of our submission were ""incorrect"" EVEN THOUGH they were verified and accepted by OGP program the week before most Deputy Heads took off for the Christmas break was very frustrating - especially when we still didn't receive clarity during a Dec. 16th meeting"
13-02-d6e6,2025-02-13T19:56:10.095Z,Agence spatiale canadienne,Service official,11–20,Over 60 hours,More than 4 weeks ,Oui,Somewhat disagree,"Lettre d'appel intégrée,Séances d'information,Boîte de réception générique de la Politique sur les services,Dictionnaire de données du registre du gouvernement ouvert ,Autre ressource",Somewhat agree,Fair,Neutral,Good,"Availability of support from service team,Ease in requesting new service ID/service standard ID,Helpful drop-in sessions",-,"Issues with the service inventory data collection template,Tight timelines,Other,Unclear definitions,Difficulty understanding data requirements",The error messages and some definitions in the file aren't clear with providing details on how to make corrections on your own. Not intuitive,"We need to be informed way earlier in the process when changes are coming so we can adequately prepare ourselves and non- service colleagues who will be involved in the NEW process. The call letter should be sent in spring to allow more time and more realistic timeframe to complete the exercise and correct errors, if needed."
14-02-4983,2025-02-14T15:33:34.892Z,Agriculture and Agri Food Canada,Service official,21–50,Over 60 hours,More than 4 weeks ,Yes,Somewhat agree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox,Data dictionary on Open Government registry ,Talking to colleagues who had worked on the process before",Strongly agree,Good,Good,Good,"Availability of support from service team,Ease of uploading data,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Helpful drop-in sessions",-,"Challenges accessing portal,Challenges using portal,Other","Timing of information; initial meetings had missing information that was indicated it would come later (i.e., date integrated call letter would be sent)",The process is better using the Open Government Portal though the Business Continuity Information that was removed and handle through the Security team did cause confusion.  More clear instruction on how to use the Portal and putting more user related information on the GC Exchange site.   Organize the structure of information on the GC Exchange site better so it can be found more easily. 
13-02-0e28,2025-02-13T17:29:43.269Z,Courts Administration Service,Service official,21–50,Over 60 hours,1-2 weeks,Yes,Somewhat agree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Data dictionary on Open Government registry ,Talking to colleagues who had worked on the process before",Somewhat agree,Excellent,Excellent,Excellent,"Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Helpful drop-in sessions",-,Difficulty understanding data requirements,-,-
28-02-ac30,2025-02-28T16:23:26.777Z,"Immigration, Refugees and Citizenship Canada",Service official,11–20,Over 60 hours,2-3 weeks,Yes,Neutral,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Talking to colleagues who had worked on the process before",Neutral,Not sure,Neutral,Fair,-,-,"Difficulty understanding data requirements,Unclear definitions,Challenges accessing portal,Challenges using portal,Issues with the service inventory data collection template",-,-
27-02-ab86,2025-02-27T17:18:22.168Z,Impact Assessment Agency of Canada,Service official,21–50,Over 60 hours,2-3 weeks,Yes,Somewhat disagree,"Drop-in sessions,Integrated Call Letter,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ",Not applicable,Poor,Not applicable/did not contact the inbox,Did not attend,Ease of uploading data,-,"Unclear definitions,Issues with the service inventory data collection template,Tight timelines,Challenges with requesting new Service ID/service standard ID,Difficulty understanding data requirements,Challenges using portal",-,-
25-02-ed55,2025-02-25T21:08:33.668Z,Infrastructure Canada,Service official,21–50,11–20 hours,3-4 weeks,Yes,Neutral,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Other resource",Somewhat agree,Poor,Good,Excellent,"Availability of support from service team,Ease of logging in/accessing open portal,Accurate and helpful data dictionary,Helpful drop-in sessions",-,"Challenges using portal,Challenges with requesting new Service ID/service standard ID,Issues with the service inventory data collection template",-,-
27-02-7b2d,2025-02-27T17:48:12.595Z,Infrastructure Canada,Service official,2–5,41-60 hours,3-4 weeks,Yes,Neutral,"Drop-in sessions,Service Policy generic inbox,Integrated Call Letter,GC Service Community GCXchange page,Policy on Service and Digital and related instruments",Somewhat agree,Good,Good,Good,"Availability of support from service team,Easy to use service inventory data collection template,Clear instructions",-,Not applicable,-,No
13-02-b85f,2025-02-13T17:32:01.424Z,Natural Sciences and Engineering Research Council of Canada,Service official,50+,Over 60 hours,More than 4 weeks ,Yes,Somewhat disagree,"Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Other resource",Somewhat agree,Good,Neutral,Neutral,"Ease of uploading data,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Availability of support from service team,Easy to use open portal,Ease of logging in/accessing open portal,Helpful drop-in sessions",-,"Unclear definitions,Challenges with requesting new Service ID/service standard ID,Unable to attend drop in sessions,Tight timelines",-,"It would be helpful if the data dictionary could be finalized sooner. I don't like to request information until it's been approved, and as a result, I've been receiving complaints that I'm not giving people enough time to prepare their data."
13-02-4c98,2025-02-13T22:28:31.871Z,Public Safety Canada,Service official,21–50,Over 60 hours,1-2 weeks,Yes,Strongly disagree,Integrated Call Letter,Somewhat agree,Neutral,Fair,Fair,Not applicable,-,Unclear definitions,-,-
27-02-75bf,2025-02-27T18:39:44.466Z,Women and Gender Equality Canada,Service official,11–20,41-60 hours,2-3 weeks,No,-,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Somewhat agree,Good,Good,Good,"Clear instructions,Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Helpful drop-in sessions",-,Unclear definitions,-,"As it was the first time for our unit to conduct the Service Inventory exercise on behalf of our department, it required extra time for transfer of knowledge and learning about the TBS requirements and process. As mentioned above, understanding the definitions of what was required in the data collection templates were a bit of a challenge, but the support provided by TBS was very helpful and much appreciated."
